DateTime,State,Fuel Type,Supply
17/12/2022 0:00,VIC,Gas,2142.429
17/12/2022 0:00,VIC,Hydro,40853.99
17/12/2022 0:00,VIC,Solar,43515.812
17/12/2022 0:00,VIC,Wind,136334.044
24/12/2022 0:00,NSW,Battery,220.385
24/12/2022 0:00,NSW,Black coal,580529.6
24/12/2022 0:00,NSW,Gas,10949.505
24/12/2022 0:00,NSW,Hydro,68401.882
24/12/2022 0:00,NSW,Liquid Fuel,0
24/12/2022 0:00,NSW,Solar,145010.188
24/12/2022 0:00,NSW,Wind,109232.906
24/12/2022 0:00,QLD,Battery,679.787
24/12/2022 0:00,QLD,Biomass,3067.842
24/12/2022 0:00,QLD,Black coal,793629.424
24/12/2022 0:00,QLD,Gas,52579.565
24/12/2022 0:00,QLD,Hydro,16730.869
24/12/2022 0:00,QLD,Liquid Fuel,0
24/12/2022 0:00,QLD,Solar,110843.682
24/12/2022 0:00,QLD,Wind,44911.495
24/12/2022 0:00,SA,Battery,876.728
24/12/2022 0:00,SA,Gas,50251.132
24/12/2022 0:00,SA,Liquid Fuel,53.304
24/12/2022 0:00,SA,Solar,21351.089
24/12/2022 0:00,SA,Wind,130933.197
24/12/2022 0:00,TAS,Gas,743.078
24/12/2022 0:00,TAS,Hydro,107488.228
24/12/2022 0:00,TAS,Wind,29792.367
24/12/2022 0:00,VIC,Battery,1702.297
24/12/2022 0:00,VIC,Brown coal,635526.491
24/12/2022 0:00,VIC,Gas,8909.396
24/12/2022 0:00,VIC,Hydro,32422.227
24/12/2022 0:00,VIC,Solar,44588.206
24/12/2022 0:00,VIC,Wind,160428.706
31/12/2022 0:00,NSW,Battery,190.801
31/12/2022 0:00,NSW,Black coal,553198.664
31/12/2022 0:00,NSW,Gas,12568.314
31/12/2022 0:00,NSW,Hydro,63262.554
31/12/2022 0:00,NSW,Liquid Fuel,0
31/12/2022 0:00,NSW,Solar,147763.759
31/12/2022 0:00,NSW,Wind,127592.259
31/12/2022 0:00,QLD,Battery,802.906
31/12/2022 0:00,QLD,Biomass,2488.792
31/12/2022 0:00,QLD,Black coal,819398.649
31/12/2022 0:00,QLD,Gas,79364.915
31/12/2022 0:00,QLD,Hydro,28146.417
31/12/2022 0:00,QLD,Liquid Fuel,0
31/12/2022 0:00,QLD,Solar,124487.051
31/12/2022 0:00,QLD,Wind,28792.231
31/12/2022 0:00,SA,Battery,914.584
31/12/2022 0:00,SA,Gas,28067.152
31/12/2022 0:00,SA,Liquid Fuel,433.183
31/12/2022 0:00,SA,Solar,22164.142
31/12/2022 0:00,SA,Wind,146844.744
31/12/2022 0:00,TAS,Gas,1065.044
31/12/2022 0:00,TAS,Hydro,103853.63
31/12/2022 0:00,TAS,Wind,29070.851
31/12/2022 0:00,VIC,Battery,1248.871
31/12/2022 0:00,VIC,Brown coal,615965.127
31/12/2022 0:00,VIC,Gas,5318.651
31/12/2022 0:00,VIC,Hydro,21481.171
31/12/2022 0:00,VIC,Solar,43212.499
31/12/2022 0:00,VIC,Wind,214504.548
7/01/2023 0:00,NSW,Battery,234.071
7/01/2023 0:00,NSW,Black coal,680279.42
7/01/2023 0:00,NSW,Gas,16963.009
7/01/2023 0:00,NSW,Hydro,95734.286
7/01/2023 0:00,NSW,Liquid Fuel,0
7/01/2023 0:00,NSW,Solar,165749.435
7/01/2023 0:00,NSW,Wind,84767.564
7/01/2023 0:00,QLD,Battery,86.628
